date,time,epoch,moteid,temperature,humidity,light,voltage,datetime,temperature_anomaly,temperature_zscore,temperature_iqr,temperature_rolling,humidity_anomaly,humidity_zscore,humidity_iqr,humidity_rolling,light_anomaly,light_zscore,light_iqr,light_rolling,voltage_anomaly,voltage_zscore,voltage_iqr,voltage_rolling,is_anomaly
2004-03-23,04:24:37.47849,33057,1,38.5594,49.6135,0.92,2.28431,2004-03-23 04:24:37.478490,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:25:07.674024,33058,1,38.6966,49.6135,0.92,2.28431,2004-03-23 04:25:07.674024,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:26:36.415483,33061,1,38.7848,49.549,0.92,2.28431,2004-03-23 04:26:36.415483,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:27:11.152165,33062,1,38.824,49.549,0.92,2.28431,2004-03-23 04:27:11.152165,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:28:09.248027,33064,1,38.8338,49.5813,0.92,2.28431,2004-03-23 04:28:09.248027,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:29:01.852055,33066,1,38.8044,49.6135,0.92,2.28431,2004-03-23 04:29:01.852055,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:29:37.348232,33067,1,38.9318,49.6135,0.92,2.28431,2004-03-23 04:29:37.348232,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:31:01.47614,33070,1,39.0102,49.6135,0.92,2.28431,2004-03-23 04:31:01.476140,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:31:37.630276,33071,1,39.0004,49.6135,0.92,2.28431,2004-03-23 04:31:37.630276,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:33:06.025392,33074,1,39.2062,49.6135,0.92,2.28431,2004-03-23 04:33:06.025392,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:34:08.41887,33076,1,39.1572,49.6457,0.92,2.28431,2004-03-23 04:34:08.418870,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:34:37.541751,33077,1,39.1376,49.678,0.92,2.28431,2004-03-23 04:34:37.541751,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:35:14.796683,33078,1,39.3238,49.678,0.92,2.28431,2004-03-23 04:35:14.796683,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:35:29.160088,33079,1,39.2748,49.678,0.92,2.28431,2004-03-23 04:35:29.160088,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:35:59.36822,33080,1,39.3728,49.678,0.92,2.28431,2004-03-23 04:35:59.368220,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004-03-23,04:36:29.05474,33081,1,39.216,49.6135,0.92,2.28431,2004-03-23 04:36:29.054740,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
